,IND1,IND3,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND31,IND32,IND33,IND34,IND36,IND37_IND57,IND38,IND41,IND42,IND44,IND48,IND49,IND50,IND52,IND53,IND60,IND61,IND62,IND63,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND87,IND88,IND89,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND102
JHI-Hv50k-2016-4713,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB
JHI-Hv50k-2016-4712,-,BB,BB,BB,AA,AA,-,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,-,-,AA,BB,-,AA,BB,-,BB,AA,BB,BB,AA,AA,BB,-,-,-,AA,BB,-,-,BB,AA,BB,-,AA,BB,-,BB,BB,-,AA,BB,AA,BB,AA,BB,AA,BB,-,AA,BB,-,-,-,-,BB,-,BB,AA,AA,BB
JHI-Hv50k-2016-4260,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB
M_E_2,-,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,-,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,AA,-,AA,AA,AA,AA,-,-,-,AA,AA,BB
JHI-Hv50k-2016-48564,AA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,AA,-,AA,BB,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,-
JHI-Hv50k-2016-48500,AA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,BB
JHI-Hv50k-2016-48499,AA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,AA,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,BB
JHI-Hv50k-2016-48279,AA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,BB,BB,AA,BB
M_E_32,BB,AA,AA,AA,BB,-,AA,AA,-,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,-,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,-,BB,AA,BB,BB,BB,AA,-,BB,AA,BB,-,AA,AA,AA,AA,BB,BB,BB,BB,-,BB,AA,-,BB,AA,BB,BB,AA
JHI-Hv50k-2016-126274,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,-,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,BB,BB,-,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-124796,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,BB,BB,-,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-124974,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,-,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,-,BB,-,BB,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-124930,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,-,-,-,BB,BB,AA,AA,BB,AA,-,AA,-,-,AA,BB,AA,BB,-,-,-,AA,-,BB,AA,AA,AA,AA,-,-,-,BB,BB,BB,AA,AA,-,AA,AA,-,AA
JHI-Hv50k-2016-124927,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,-,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,BB,BB,-,BB,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-124924,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-190340,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,BB,-,-,BB,-,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA
JHI-Hv50k-2016-115953,-,AA,AA,AA,AA,BB,-,BB,AA,AA,AA,AA,-,BB,BB,BB,BB,-,-,AA,-,BB,BB,-,BB,BB,AA,BB,BB,BB,-,AA,BB,BB,BB,BB,BB,AA,AA,BB,-,BB,-,BB,BB,AA,BB,AA,-,BB,AA,AA,AA,BB,BB,-,-,AA,AA,-,AA,AA,BB,BB,BB,BB,-,AA,AA,AA,BB,-
JHI-Hv50k-2016-115933,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119334,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119259,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119256,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119243,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-117516,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,-
JHI-Hv50k-2016-117510,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-117361,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,-,AA,-,BB,-,BB,-,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,-,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,-
JHI-Hv50k-2016-117333,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-117198,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-117081,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,-,AA,AA,AA,AA,AA,BB,BB,BB,BB,-,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116922,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,-
JHI-Hv50k-2016-116907,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116867,-,-,-,AA,AA,BB,AA,BB,AA,AA,BB,-,AA,BB,BB,BB,BB,AA,-,-,-,BB,BB,AA,BB,BB,-,BB,BB,BB,-,-,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,-,BB,BB,-,BB,-,-,-,-,AA,-,BB,BB,AA,-,-,-,AA,-,AA,BB,BB,BB,BB,-,-,AA,-,BB,-
JHI-Hv50k-2016-116864,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116742,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116581,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,-,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,-,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,-
JHI-Hv50k-2016-116579,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116577,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116466,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116385,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-116068,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,-,AA,AA,AA,AA,BB,BB,AA,-,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-115889,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,-,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,-,-,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119116,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-119113,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,-,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-118583,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
JHI-Hv50k-2016-118494,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA
M_E_31,AA,-,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,AA,-,-,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,-,AA,AA,BB,BB,AA
M_E_30,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,AA,-,-,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,-,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,-,BB,BB,AA,AA,AA,BB,BB,AA
M_E_29,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,AA,-,BB,BB,AA,BB,BB,AA,BB,-,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,-,BB,AA,AA,AA,AA,AA,BB,BB,-,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,-,AA,AA,BB,BB,AA
JHI-Hv50k-2016-115564,AA,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,AA
