,IND1,IND3,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND31,IND32,IND33,IND34,IND36,IND37_IND57,IND38,IND41,IND42,IND44,IND48,IND49,IND50,IND52,IND53,IND54,IND59,IND60,IND61,IND62,IND63,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND87,IND88,IND89,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND102
JHI-Hv50k-2016-468564,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,-,BB,-,AA,AA,AA,-,AA,AA,BB,AA,AA,AA,-,BB,BB,BB,AA,AA,BB,-,AA,AA,AA,AA,AA,-,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,BB,BB,AA,BB
JHI-Hv50k-2016-466668,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB
JHI-Hv50k-2016-465418,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,-,AA,BB,BB,AA,AA,AA,AA,-,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB
JHI-Hv50k-2016-469069,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-470283,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-470691,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-470398,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-489799,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-489616,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-489798,BB,BB,AA,BB,AA,BB,-,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,AA,-,BB,AA,BB,BB,BB,-,AA,AA,BB,BB,BB,-,AA,AA,BB,BB,-,AA,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,-,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA
JHI-Hv50k-2016-488809,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-488697,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-483031,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-488887,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-488873,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,-,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-487430,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-487408,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479451,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-478027,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-478809,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-478267,-,-,AA,BB,AA,-,AA,BB,BB,BB,BB,-,AA,-,AA,-,AA,AA,AA,BB,AA,-,-,-,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,-,AA,AA,AA,BB,BB,AA,-,AA,-,AA,-,BB,AA,-,-,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,-,AA,BB
JHI-Hv50k-2016-478155,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-483272,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-483434,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-482729,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-481987,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-481749,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-481258,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-480771,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-480176,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479764,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479763,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479753,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479447,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-479018,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-478689,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,-,AA,BB,BB,BB,AA,AA,AA,BB,BB,-,BB,AA,BB,AA,BB,BB,-,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-478345,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-475035,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-474991,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,-,BB,BB,-,AA,AA,-,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-474953,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-483191,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-482497,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-481919,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-481738,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,-,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-477827,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,-,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-478738,BB,-,AA,BB,AA,-,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,-,AA,BB,-,-,AA,AA,AA,BB,BB,BB,AA,AA,AA,-,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,AA,BB
