mrk.1,mrk.2,R2,diff.dist,LG,delta.bp
S01_27622566,S01_27622566,NA,0,lg.1,0
S01_28298906,S01_28298906,NA,0,lg.1,0
S01_28345035,S01_28345035,NA,0,lg.1,0
S01_28345059,S01_28345059,NA,0,lg.1,0
S01_29039823,S01_29039823,NA,0,lg.1,0
S01_29328994,S01_29328994,NA,0,lg.1,0
S01_31089908,S01_31089908,NA,0,lg.1,0
S01_31090052,S01_31090052,NA,0,lg.1,0
S01_32461874,S01_32461874,NA,0,lg.1,0
S01_35752803,S01_35752803,NA,0,lg.1,0
S01_37430274,S01_37430274,NA,0,lg.1,0
S01_37430292,S01_37430292,NA,0,lg.1,0
S01_37485635,S01_37485635,NA,0,lg.1,0
S01_37485659,S01_37485659,NA,0,lg.1,0
S01_38103738,S01_38103738,NA,0,lg.1,0
S01_38755673,S01_38755673,NA,0,lg.1,0
S01_38888921,S01_38888921,NA,0,lg.1,0
S01_39202106,S01_39202106,NA,0,lg.1,0
S01_39782428,S01_39782428,NA,0,lg.1,0
S01_39801220,S01_39801220,NA,0,lg.1,0
S01_40636558,S01_40636558,NA,0,lg.1,0
S01_40636580,S01_40636580,NA,0,lg.1,0
S01_41895210,S01_41895210,NA,0,lg.1,0
S01_42371693,S01_42371693,NA,0,lg.1,0
S01_42832684,S01_42832684,NA,0,lg.1,0
S01_42832725,S01_42832725,NA,0,lg.1,0
S01_43219992,S01_43219992,NA,0,lg.1,0
S01_43668662,S01_43668662,NA,0,lg.1,0
S01_44008895,S01_44008895,NA,0,lg.1,0
S01_44338415,S01_44338415,NA,0,lg.1,0
S01_44586060,S01_44586060,NA,0,lg.1,0
S01_45185076,S01_45185076,NA,0,lg.1,0
S01_45185084,S01_45185084,NA,0,lg.1,0
S01_45185085,S01_45185085,NA,0,lg.1,0
S01_45185110,S01_45185110,NA,0,lg.1,0
S01_45393119,S01_45393119,NA,0,lg.1,0
S01_47938078,S01_47938078,NA,0,lg.1,0
S01_47939179,S01_47939179,NA,0,lg.1,0
S01_48738048,S01_48738048,NA,0,lg.1,0
S01_48738089,S01_48738089,NA,0,lg.1,0
S01_48738092,S01_48738092,NA,0,lg.1,0
S01_48751448,S01_48751448,NA,0,lg.1,0
S01_48805860,S01_48805860,NA,0,lg.1,0
S01_49196880,S01_49196880,NA,0,lg.1,0
S01_49321466,S01_49321466,NA,0,lg.1,0
S01_49405427,S01_49405427,NA,0,lg.1,0
S01_49407048,S01_49407048,NA,0,lg.1,0
S01_49407099,S01_49407099,NA,0,lg.1,0
S01_49482272,S01_49482272,NA,0,lg.1,0
S01_49482320,S01_49482320,NA,0,lg.1,0
S01_49867005,S01_49867005,NA,0,lg.1,0
S01_50037069,S01_50037069,NA,0,lg.1,0
S01_50103603,S01_50103603,NA,0,lg.1,0
S01_50230454,S01_50230454,NA,0,lg.1,0
S01_50260522,S01_50260522,NA,0,lg.1,0
S01_50403605,S01_50403605,NA,0,lg.1,0
S01_50406826,S01_50406826,NA,0,lg.1,0
S01_50426012,S01_50426012,NA,0,lg.1,0
S01_50503626,S01_50503626,NA,0,lg.1,0
S01_51408405,S01_51408405,NA,0,lg.1,0
S01_51516538,S01_51516538,NA,0,lg.1,0
S01_51516560,S01_51516560,NA,0,lg.1,0
S01_51600690,S01_51600690,NA,0,lg.1,0
S01_51619343,S01_51619343,NA,0,lg.1,0
S01_51630871,S01_51630871,NA,0,lg.1,0
S01_51640106,S01_51640106,NA,0,lg.1,0
S01_51685788,S01_51685788,NA,0,lg.1,0
S01_51764985,S01_51764985,NA,0,lg.1,0
S01_51765084,S01_51765084,NA,0,lg.1,0
S01_51814474,S01_51814474,NA,0,lg.1,0
S01_52557156,S01_52557156,NA,0,lg.1,0
S01_52567810,S01_52567810,NA,0,lg.1,0
S01_52652130,S01_52652130,NA,0,lg.1,0
S01_54506139,S01_54506139,NA,0,lg.1,0
S01_54719664,S01_54719664,NA,0,lg.1,0
S01_55221804,S01_55221804,NA,0,lg.1,0
S01_55230333,S01_55230333,NA,0,lg.1,0
S01_55230421,S01_55230421,NA,0,lg.1,0
S01_55230498,S01_55230498,NA,0,lg.1,0
S01_55234883,S01_55234883,NA,0,lg.1,0
S01_55251501,S01_55251501,NA,0,lg.1,0
S01_55269660,S01_55269660,NA,0,lg.1,0
S01_55692513,S01_55692513,NA,0,lg.1,0
S01_55879240,S01_55879240,NA,0,lg.1,0
S01_56025102,S01_56025102,NA,0,lg.1,0
S01_56381361,S01_56381361,NA,0,lg.1,0
S01_56497079,S01_56497079,NA,0,lg.1,0
S01_56514285,S01_56514285,NA,0,lg.1,0
S01_56521310,S01_56521310,NA,0,lg.1,0
S01_56561984,S01_56561984,NA,0,lg.1,0
S01_56603301,S01_56603301,NA,0,lg.1,0
S01_56603303,S01_56603303,NA,0,lg.1,0
S01_56670080,S01_56670080,NA,0,lg.1,0
S01_56670116,S01_56670116,NA,0,lg.1,0
S01_56756596,S01_56756596,NA,0,lg.1,0
S01_56756639,S01_56756639,NA,0,lg.1,0
S01_56782521,S01_56782521,NA,0,lg.1,0
S01_56782528,S01_56782528,NA,0,lg.1,0
S01_56782542,S01_56782542,NA,0,lg.1,0
S01_56812275,S01_56812275,NA,0,lg.1,0
S01_56812323,S01_56812323,NA,0,lg.1,0
S01_56812335,S01_56812335,NA,0,lg.1,0
S01_56812735,S01_56812735,NA,0,lg.1,0
S01_45185084,S01_45185085,0.998496289915947,1,lg.1,1e-6
S01_45185085,S01_45185084,NA,1,lg.1,1e-6
S01_56603301,S01_56603303,0.9993561275625632,2,lg.1,2e-6
S01_56603303,S01_56603301,NA,2,lg.1,2e-6
S01_48738089,S01_48738092,0.9989742293942754,3,lg.1,3e-6
S01_48738092,S01_48738089,NA,3,lg.1,3e-6
S01_56782521,S01_56782528,0.9992610788504286,7,lg.1,7e-6
S01_56782528,S01_56782521,NA,7,lg.1,7e-6
S01_45185076,S01_45185084,0.998496289915947,8,lg.1,8e-6
S01_45185084,S01_45185076,NA,8,lg.1,8e-6
S01_45185076,S01_45185085,0.998496289915947,9,lg.1,9e-6
S01_45185085,S01_45185076,NA,9,lg.1,9e-6
S01_2290523,S01_2290535,0.489493182562847,12,lg.1,1.2e-5
S01_2290535,S01_2290523,NA,12,lg.1,1.2e-5
S01_56812323,S01_56812335,0.010157346821457134,12,lg.1,1.2e-5
S01_56812335,S01_56812323,NA,12,lg.1,1.2e-5
S01_56782528,S01_56782542,0.9992610788504286,14,lg.1,1.4e-5
S01_56782542,S01_56782528,NA,14,lg.1,1.4e-5
S01_955453,S01_955471,0.9993867572931072,18,lg.1,1.8e-5
S01_955471,S01_955453,NA,18,lg.1,1.8e-5
S01_37430274,S01_37430292,0.9988965900308002,18,lg.1,1.8e-5
S01_37430292,S01_37430274,NA,18,lg.1,1.8e-5
S01_12547108,S01_12547128,0.9983839913609841,20,lg.1,2e-5
S01_12547128,S01_12547108,NA,20,lg.1,2e-5
S01_56782521,S01_56782542,0.9992610788504286,21,lg.1,2.1e-5
S01_56782542,S01_56782521,NA,21,lg.1,2.1e-5
S01_40636558,S01_40636580,0.34031466733144033,22,lg.1,2.2e-5
S01_40636580,S01_40636558,NA,22,lg.1,2.2e-5
S01_51516538,S01_51516560,0.7534117199574456,22,lg.1,2.2e-5
S01_51516560,S01_51516538,NA,22,lg.1,2.2e-5
S01_28345035,S01_28345059,0.9974555417638177,24,lg.1,2.4e-5
S01_28345059,S01_28345035,NA,24,lg.1,2.4e-5
S01_37485635,S01_37485659,0.9990370963939043,24,lg.1,2.4e-5
S01_37485659,S01_37485635,NA,24,lg.1,2.4e-5
S01_1482512,S01_1482537,0.9994344356856977,25,lg.1,2.5e-5
S01_1482537,S01_1482512,NA,25,lg.1,2.5e-5
S01_1818795,S01_1818820,0.9684719312073401,25,lg.1,2.5e-5
S01_1818820,S01_1818795,NA,25,lg.1,2.5e-5
S01_45185085,S01_45185110,0.998496289915947,25,lg.1,2.5e-5
S01_45185110,S01_45185085,NA,25,lg.1,2.5e-5
S01_45185084,S01_45185110,0.998496289915947,26,lg.1,2.6e-5
S01_45185110,S01_45185084,NA,26,lg.1,2.6e-5
S01_4676372,S01_4676401,0.999594560519468,29,lg.1,2.9e-5
S01_4676401,S01_4676372,NA,29,lg.1,2.9e-5
S01_45185076,S01_45185110,0.998496289915947,34,lg.1,3.4e-5
S01_45185110,S01_45185076,NA,34,lg.1,3.4e-5
S01_56670080,S01_56670116,0.9991226303095053,36,lg.1,3.6e-5
S01_56670116,S01_56670080,NA,36,lg.1,3.6e-5
S01_42832684,S01_42832725,0.9995194869865813,41,lg.1,4.1e-5
S01_42832725,S01_42832684,NA,41,lg.1,4.1e-5
S01_48738048,S01_48738089,0.9989742293942754,41,lg.1,4.1e-5
S01_48738089,S01_48738048,NA,41,lg.1,4.1e-5
S01_56756596,S01_56756639,0.18758830256523484,43,lg.1,4.3e-5
S01_56756639,S01_56756596,NA,43,lg.1,4.3e-5
S01_48738048,S01_48738092,0.9989742293942754,44,lg.1,4.4e-5
S01_48738092,S01_48738048,NA,44,lg.1,4.4e-5
S01_385049,S01_385095,0.12209718584183014,46,lg.1,4.6e-5
S01_385095,S01_385049,NA,46,lg.1,4.6e-5
S01_49482272,S01_49482320,0.9990786929488134,48,lg.1,4.8e-5
S01_49482320,S01_49482272,NA,48,lg.1,4.8e-5
S01_56812275,S01_56812323,0.006805654581480043,48,lg.1,4.8e-5
S01_56812323,S01_56812275,NA,48,lg.1,4.8e-5
S01_49407048,S01_49407099,0.966087076379635,51,lg.1,5.1e-5
S01_49407099,S01_49407048,NA,51,lg.1,5.1e-5
S01_56812275,S01_56812335,0.006353146897156942,60,lg.1,6e-5
S01_56812335,S01_56812275,NA,60,lg.1,6e-5
S01_55230421,S01_55230498,0.9699477852849153,77,lg.1,7.7e-5
S01_55230498,S01_55230421,NA,77,lg.1,7.7e-5
S01_55230333,S01_55230421,0.611527682304471,88,lg.1,8.8e-5
S01_55230421,S01_55230333,NA,88,lg.1,8.8e-5
S01_51764985,S01_51765084,0.8968622050245684,99,lg.1,9.9e-5
S01_51765084,S01_51764985,NA,99,lg.1,9.9e-5
S01_4028168,S01_4028291,0.8354770550044126,123,lg.1,1.23e-4
S01_4028291,S01_4028168,NA,123,lg.1,1.23e-4
S01_31089908,S01_31090052,0.8779730806833941,144,lg.1,1.44e-4
S01_31090052,S01_31089908,NA,144,lg.1,1.44e-4
S01_55230333,S01_55230498,0.6296438550322851,165,lg.1,1.65e-4
S01_55230498,S01_55230333,NA,165,lg.1,1.65e-4
S01_293684,S01_293924,0.755502970556945,240,lg.1,2.4e-4
S01_293924,S01_293684,NA,240,lg.1,2.4e-4
S01_2290277,S01_2290523,0.664565012382906,246,lg.1,2.46e-4
S01_2290523,S01_2290277,NA,246,lg.1,2.46e-4
S01_2290277,S01_2290535,0.7359946967526585,258,lg.1,2.58e-4
S01_2290535,S01_2290277,NA,258,lg.1,2.58e-4
S01_56812335,S01_56812735,0.2874989268641651,400,lg.1,4e-4
S01_56812735,S01_56812335,NA,400,lg.1,4e-4
S01_56812323,S01_56812735,0.40243320989709486,412,lg.1,4.12e-4
S01_56812735,S01_56812323,NA,412,lg.1,4.12e-4
S01_56812275,S01_56812735,0.022283446563373003,460,lg.1,4.6e-4
S01_56812735,S01_56812275,NA,460,lg.1,4.6e-4
S01_293924,S01_294507,0.969307703749869,583,lg.1,5.83e-4
S01_294507,S01_293924,NA,583,lg.1,5.83e-4
S01_293684,S01_294507,0.7326989158632853,823,lg.1,8.23e-4
S01_294507,S01_293684,NA,823,lg.1,8.23e-4
S01_47938078,S01_47939179,0.7388308069566798,1101,lg.1,0.001101
S01_47939179,S01_47938078,NA,1101,lg.1,0.001101
S01_49405427,S01_49407048,0.872225394133168,1621,lg.1,0.001621
S01_49407048,S01_49405427,NA,1621,lg.1,0.001621
S01_49405427,S01_49407099,0.8792367727550656,1672,lg.1,0.001672
S01_49407099,S01_49405427,NA,1672,lg.1,0.001672
S01_382258,S01_385049,0.7732313774165286,2791,lg.1,0.002791
S01_385049,S01_382258,NA,2791,lg.1,0.002791
S01_382258,S01_385095,0.1374210729397921,2837,lg.1,0.002837
S01_385095,S01_382258,NA,2837,lg.1,0.002837
S01_153541,S01_156650,0.7647140202882317,3109,lg.1,0.003109
S01_156650,S01_153541,NA,3109,lg.1,0.003109
S01_50403605,S01_50406826,0.9571008414645757,3221,lg.1,0.003221
S01_50406826,S01_50403605,NA,3221,lg.1,0.003221
S01_2207723,S01_2211215,0.5506350488715268,3492,lg.1,0.003492
S01_2211215,S01_2207723,NA,3492,lg.1,0.003492
S01_378527,S01_382258,0.10739367481677392,3731,lg.1,0.003731
S01_382258,S01_378527,NA,3731,lg.1,0.003731
S01_1814915,S01_1818795,0.9400257796264424,3880,lg.1,0.00388
S01_1818795,S01_1814915,NA,3880,lg.1,0.00388
S01_1814915,S01_1818820,0.9154753931845248,3905,lg.1,0.003905
S01_1818820,S01_1814915,NA,3905,lg.1,0.003905
S01_55230498,S01_55234883,0.7030871462073638,4385,lg.1,0.004385
S01_55234883,S01_55230498,NA,4385,lg.1,0.004385
S01_55230421,S01_55234883,0.6828575827285762,4462,lg.1,0.004462
S01_55234883,S01_55230421,NA,4462,lg.1,0.004462
S01_55230333,S01_55234883,0.8940841833563822,4550,lg.1,0.00455
S01_55234883,S01_55230333,NA,4550,lg.1,0.00455
S01_378527,S01_385049,0.09540027276452237,6522,lg.1,0.006522
S01_385049,S01_378527,NA,6522,lg.1,0.006522
S01_378527,S01_385095,0.7811029640451398,6568,lg.1,0.006568
S01_385095,S01_378527,NA,6568,lg.1,0.006568
S01_56514285,S01_56521310,0.6951448004294316,7025,lg.1,0.007025
S01_56521310,S01_56514285,NA,7025,lg.1,0.007025
S01_55221804,S01_55230333,0.6931196080405497,8529,lg.1,0.008529
S01_55230333,S01_55221804,NA,8529,lg.1,0.008529
S01_55221804,S01_55230421,0.881015357642063,8617,lg.1,0.008617
S01_55230421,S01_55221804,NA,8617,lg.1,0.008617
S01_55221804,S01_55230498,0.6490865484657427,8694,lg.1,0.008694
S01_55230498,S01_55221804,NA,8694,lg.1,0.008694
S01_385095,S01_393862,0.11630809513381207,8767,lg.1,0.008767
S01_393862,S01_385095,NA,8767,lg.1,0.008767
S01_385049,S01_393862,0.7370365153140496,8813,lg.1,0.008813
S01_393862,S01_385049,NA,8813,lg.1,0.008813
S01_51630871,S01_51640106,0.8972341889918181,9235,lg.1,0.009235
S01_51640106,S01_51630871,NA,9235,lg.1,0.009235
S01_52557156,S01_52567810,0.014741239786657407,10654,lg.1,0.010654
S01_52567810,S01_52557156,NA,10654,lg.1,0.010654
S01_51619343,S01_51630871,0.8598813295237947,11528,lg.1,0.011528
S01_51630871,S01_51619343,NA,11528,lg.1,0.011528
S01_382258,S01_393862,0.7439434477428183,11604,lg.1,0.011604
S01_393862,S01_382258,NA,11604,lg.1,0.011604
S01_827682,S01_839570,0.42865458141154367,11888,lg.1,0.011888
S01_839570,S01_827682,NA,11888,lg.1,0.011888
S01_55221804,S01_55234883,0.6721707937168122,13079,lg.1,0.013079
S01_55234883,S01_55221804,NA,13079,lg.1,0.013079
S01_48738092,S01_48751448,0.12665440781303297,13356,lg.1,0.013356
S01_48751448,S01_48738092,NA,13356,lg.1,0.013356
S01_48738089,S01_48751448,0.12665440781303297,13359,lg.1,0.013359
S01_48751448,S01_48738089,NA,13359,lg.1,0.013359
S01_48738048,S01_48751448,0.12665440781303297,13400,lg.1,0.0134
S01_48751448,S01_48738048,NA,13400,lg.1,0.0134
S01_669257,S01_683307,0.7747522692365556,14050,lg.1,0.01405
S01_683307,S01_669257,NA,14050,lg.1,0.01405
S01_455187,S01_469982,0.5081014803117455,14795,lg.1,0.014795
S01_469982,S01_455187,NA,14795,lg.1,0.014795
S01_378527,S01_393862,0.0908769839696527,15335,lg.1,0.015335
S01_393862,S01_378527,NA,15335,lg.1,0.015335
S01_811792,S01_827682,0.755815058457709,15890,lg.1,0.01589
S01_827682,S01_811792,NA,15890,lg.1,0.01589
S01_55234883,S01_55251501,0.867405613119113,16618,lg.1,0.016618
S01_55251501,S01_55234883,NA,16618,lg.1,0.016618
S01_56497079,S01_56514285,0.7197948387599516,17206,lg.1,0.017206
S01_56514285,S01_56497079,NA,17206,lg.1,0.017206
S01_55251501,S01_55269660,0.8286292147673592,18159,lg.1,0.018159
S01_55269660,S01_55251501,NA,18159,lg.1,0.018159
S01_651047,S01_669257,0.7625812371688712,18210,lg.1,0.01821
S01_669257,S01_651047,NA,18210,lg.1,0.01821
S01_51600690,S01_51619343,0.8302118065291376,18653,lg.1,0.018653
S01_51619343,S01_51600690,NA,18653,lg.1,0.018653
S01_1482537,S01_1501284,0.4110265967555728,18747,lg.1,0.018747
S01_1501284,S01_1482537,NA,18747,lg.1,0.018747
S01_1482512,S01_1501284,0.4110265967555728,18772,lg.1,0.018772
S01_1501284,S01_1482512,NA,18772,lg.1,0.018772
S01_39782428,S01_39801220,0.853809226167422,18792,lg.1,0.018792
S01_39801220,S01_39782428,NA,18792,lg.1,0.018792
S01_50406826,S01_50426012,0.5128671186930821,19186,lg.1,0.019186
S01_50426012,S01_50406826,NA,19186,lg.1,0.019186
S01_51619343,S01_51640106,0.7720686383923755,20763,lg.1,0.020763
S01_51640106,S01_51619343,NA,20763,lg.1,0.020763
S01_55230498,S01_55251501,0.8092966930691139,21003,lg.1,0.021003
S01_55251501,S01_55230498,NA,21003,lg.1,0.021003
S01_55230421,S01_55251501,0.786010863036456,21080,lg.1,0.02108
S01_55251501,S01_55230421,NA,21080,lg.1,0.02108
S01_55230333,S01_55251501,0.7767959049180445,21168,lg.1,0.021168
S01_55251501,S01_55230333,NA,21168,lg.1,0.021168
S01_50403605,S01_50426012,0.49133546453357,22407,lg.1,0.022407
S01_50426012,S01_50403605,NA,22407,lg.1,0.022407
S01_56497079,S01_56521310,0.9641990698847118,24231,lg.1,0.024231
S01_56521310,S01_56497079,NA,24231,lg.1,0.024231
S01_56756639,S01_56782521,0.6859582000181413,25882,lg.1,0.025882
S01_56782521,S01_56756639,NA,25882,lg.1,0.025882
S01_56756639,S01_56782528,0.6859582000181413,25889,lg.1,0.025889
S01_56782528,S01_56756639,NA,25889,lg.1,0.025889
S01_56756639,S01_56782542,0.6859582000181413,25903,lg.1,0.025903
S01_56782542,S01_56756639,NA,25903,lg.1,0.025903
S01_56756596,S01_56782521,0.2732989130689235,25925,lg.1,0.025925
S01_56782521,S01_56756596,NA,25925,lg.1,0.025925
S01_56756596,S01_56782528,0.2732989130689235,25932,lg.1,0.025932
S01_56782528,S01_56756596,NA,25932,lg.1,0.025932
S01_56756596,S01_56782542,0.2732989130689235,25946,lg.1,0.025946
S01_56782542,S01_56756596,NA,25946,lg.1,0.025946
S01_811792,S01_839570,0.3865881977174064,27778,lg.1,0.027778
S01_839570,S01_811792,NA,27778,lg.1,0.027778
S01_55221804,S01_55251501,0.89088597878108,29697,lg.1,0.029697
S01_55251501,S01_55221804,NA,29697,lg.1,0.029697
S01_56782542,S01_56812275,0.00309947002514855,29733,lg.1,0.029733
S01_56812275,S01_56782542,NA,29733,lg.1,0.029733
S01_56782528,S01_56812275,0.00309947002514855,29747,lg.1,0.029747
S01_56812275,S01_56782528,NA,29747,lg.1,0.029747
S01_56782521,S01_56812275,0.00309947002514855,29754,lg.1,0.029754
S01_56812275,S01_56782521,NA,29754,lg.1,0.029754
S01_56782542,S01_56812323,0.27342724673946034,29781,lg.1,0.029781
S01_56812323,S01_56782542,NA,29781,lg.1,0.029781
S01_56782542,S01_56812335,0.15112470932505934,29793,lg.1,0.029793
S01_56812335,S01_56782542,NA,29793,lg.1,0.029793
S01_56782528,S01_56812323,0.27342724673946034,29795,lg.1,0.029795
S01_56812323,S01_56782528,NA,29795,lg.1,0.029795
S01_56782521,S01_56812323,0.27342724673946034,29802,lg.1,0.029802
S01_56812323,S01_56782521,NA,29802,lg.1,0.029802
S01_56782528,S01_56812335,0.15112470932505934,29807,lg.1,0.029807
S01_56812335,S01_56782528,NA,29807,lg.1,0.029807
S01_56782521,S01_56812335,0.15112470932505934,29814,lg.1,0.029814
S01_56812335,S01_56782521,NA,29814,lg.1,0.029814
S01_50230454,S01_50260522,0.6410813021332812,30068,lg.1,0.030068
S01_50260522,S01_50230454,NA,30068,lg.1,0.030068
S01_51600690,S01_51630871,0.7585111928557763,30181,lg.1,0.030181
S01_51630871,S01_51600690,NA,30181,lg.1,0.030181
S01_56782542,S01_56812735,0.8181191044985273,30193,lg.1,0.030193
S01_56812735,S01_56782542,NA,30193,lg.1,0.030193
S01_56782528,S01_56812735,0.8181191044985273,30207,lg.1,0.030207
S01_56812735,S01_56782528,NA,30207,lg.1,0.030207
S01_56782521,S01_56812735,0.8181191044985273,30214,lg.1,0.030214
S01_56812735,S01_56782521,NA,30214,lg.1,0.030214
S01_651047,S01_683307,0.7794829843776754,32260,lg.1,0.03226
S01_683307,S01_651047,NA,32260,lg.1,0.03226
S01_55234883,S01_55269660,0.9310231410272746,34777,lg.1,0.034777
S01_55269660,S01_55234883,NA,34777,lg.1,0.034777
S01_55230498,S01_55269660,0.6716571110478247,39162,lg.1,0.039162
S01_55269660,S01_55230498,NA,39162,lg.1,0.039162
S01_55230421,S01_55269660,0.6523319725285047,39239,lg.1,0.039239
S01_55269660,S01_55230421,NA,39239,lg.1,0.039239
S01_55230333,S01_55269660,0.780132010990301,39327,lg.1,0.039327
S01_55269660,S01_55230333,NA,39327,lg.1,0.039327
S01_51600690,S01_51640106,0.6201557744035644,39416,lg.1,0.039416
S01_51640106,S01_51600690,NA,39416,lg.1,0.039416
S01_1775088,S01_1814915,0.7450824412543889,39827,lg.1,0.039827
S01_1814915,S01_1775088,NA,39827,lg.1,0.039827
S01_56521310,S01_56561984,0.0097363518915786,40674,lg.1,0.040674
S01_56561984,S01_56521310,NA,40674,lg.1,0.040674
S01_56561984,S01_56603301,0.1227704635667767,41317,lg.1,0.041317
S01_56603301,S01_56561984,NA,41317,lg.1,0.041317
S01_56561984,S01_56603303,0.1227704635667767,41319,lg.1,0.041319
S01_56603303,S01_56561984,NA,41319,lg.1,0.041319
S01_1775088,S01_1818795,0.792199675711761,43707,lg.1,0.043707
S01_1818795,S01_1775088,NA,43707,lg.1,0.043707
S01_1775088,S01_1818820,0.8134297751257626,43732,lg.1,0.043732
S01_1818820,S01_1775088,NA,43732,lg.1,0.043732
S01_51640106,S01_51685788,0.9835347755347779,45682,lg.1,0.045682
S01_51685788,S01_51640106,NA,45682,lg.1,0.045682
S01_28298906,S01_28345035,0.008735725224521861,46129,lg.1,0.046129
S01_28345035,S01_28298906,NA,46129,lg.1,0.046129
S01_28298906,S01_28345059,0.008735725224521861,46153,lg.1,0.046153
S01_28345059,S01_28298906,NA,46153,lg.1,0.046153
S01_56514285,S01_56561984,0.006702356298918983,47699,lg.1,0.047699
S01_56561984,S01_56514285,NA,47699,lg.1,0.047699
S01_55221804,S01_55269660,0.739368858844335,47856,lg.1,0.047856
S01_55269660,S01_55221804,NA,47856,lg.1,0.047856
S01_1433706,S01_1482512,0.8537083439322365,48806,lg.1,0.048806
S01_1482512,S01_1433706,NA,48806,lg.1,0.048806
S01_1433706,S01_1482537,0.8537083439322365,48831,lg.1,0.048831
S01_1482537,S01_1433706,NA,48831,lg.1,0.048831
S01_51765084,S01_51814474,0.941433884588269,49390,lg.1,0.04939
S01_51814474,S01_51765084,NA,49390,lg.1,0.04939
S01_51764985,S01_51814474,0.8380832485605798,49489,lg.1,0.049489
S01_51814474,S01_51764985,NA,49489,lg.1,0.049489
S01_598334,S01_651047,0.7818507733148196,52713,lg.1,0.052713
S01_651047,S01_598334,NA,52713,lg.1,0.052713
S01_48751448,S01_48805860,0.8233993692277984,54412,lg.1,0.054412
S01_48805860,S01_48751448,NA,54412,lg.1,0.054412
S01_51630871,S01_51685788,0.9116452982635461,54917,lg.1,0.054917
S01_51685788,S01_51630871,NA,54917,lg.1,0.054917
S01_37430292,S01_37485635,0.6826566651883843,55343,lg.1,0.055343
S01_37485635,S01_37430292,NA,55343,lg.1,0.055343
S01_37430274,S01_37485635,0.6826566651883843,55361,lg.1,0.055361
S01_37485635,S01_37430274,NA,55361,lg.1,0.055361
S01_37430292,S01_37485659,0.6826566651883843,55367,lg.1,0.055367
S01_37485659,S01_37430292,NA,55367,lg.1,0.055367
S01_37430274,S01_37485659,0.6826566651883843,55385,lg.1,0.055385
S01_37485659,S01_37430274,NA,55385,lg.1,0.055385
S01_56756639,S01_56812275,3.3106255240719927e-6,55636,lg.1,0.055636
S01_56812275,S01_56756639,NA,55636,lg.1,0.055636
S01_56756596,S01_56812275,0.006487386368131972,55679,lg.1,0.055679
S01_56812275,S01_56756596,NA,55679,lg.1,0.055679
S01_56756639,S01_56812323,0.25722414929128606,55684,lg.1,0.055684
S01_56812323,S01_56756639,NA,55684,lg.1,0.055684
S01_56756639,S01_56812335,0.1837651944979012,55696,lg.1,0.055696
S01_56812335,S01_56756639,NA,55696,lg.1,0.055696
S01_56756596,S01_56812323,0.010367070697276454,55727,lg.1,0.055727
S01_56812323,S01_56756596,NA,55727,lg.1,0.055727
S01_56756596,S01_56812335,0.00737548819529459,55739,lg.1,0.055739
S01_56812335,S01_56756596,NA,55739,lg.1,0.055739
S01_56756639,S01_56812735,0.6388133691632337,56096,lg.1,0.056096
