,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND14,IND15,IND16,IND17,IND18,IND19,IND20,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND30,IND31,IND32,IND33,IND34,IND35,IND36,IND37,IND38,IND39,IND40,IND41,IND42,IND43,IND44,IND45,IND46,IND47,IND48,IND49,IND50,IND51,IND52,IND53,IND54,IND55,IND56,IND57,IND58,IND59,IND60,IND61,IND62,IND63,IND64,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND78,IND79,IND80,IND81,IND82,IND83,IND84,IND85,IND86,IND87
JHI_Hv50k_2016_8609,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,B,B,B,A,-,A,B,A,A,A,A,B,B,B,A,B,A,A,B,B,B,A,B,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,-,A,B,B,-,A,A,A,A,B,A,B,A,A,A,B
JHI_Hv50k_2016_8710,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,B,B,-,A,-,A,B,A,A,A,-,-,B,B,A,B,A,A,-,-,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,-,A,B,B,-,A,A,A,A,B,A,B,A,A,A,-
JHI_Hv50k_2016_10580,B,B,-,B,B,-,-,-,B,B,B,-,-,-,-,-,B,-,B,-,B,-,-,-,-,B,-,-,B,-,B,B,-,-,B,B,A,-,B,A,A,-,A,-,B,B,A,A,B,B,A,A,B,B,B,A,A,-,B,-,B,B,B,A,A,B,A,-,B,A,B,-,A,B,B,-,A,B,-,A,B,A,B,A,A,-,-
JHI_Hv50k_2016_10642,B,B,-,B,B,A,A,B,B,B,B,-,A,A,A,A,B,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,A,B,B,A,-,B,A,A,A,A,-,B,B,-,A,B,B,A,A,B,B,B,A,A,A,B,A,B,A,B,A,A,B,A,A,B,A,B,-,A,B,B,-,A,B,A,A,B,A,B,A,A,-,-
JHI_Hv50k_2016_11910,B,B,-,B,A,A,A,A,B,B,B,-,A,A,A,A,A,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,B,B,B,A,A,B,A,A,B,A,B,-,A,B,B,-,A,B,A,B,B,A,B,A,A,A,A
JHI_Hv50k_2016_11911,B,B,-,B,A,A,A,A,B,B,B,-,A,A,A,A,A,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,B,B,B,A,A,B,A,A,B,A,B,-,A,B,B,-,A,B,A,B,B,A,B,A,A,A,-
JHI_Hv50k_2016_11980,B,B,-,B,A,A,A,A,B,B,B,-,A,A,A,A,A,A,B,A,B,A,A,A,-,B,A,A,B,A,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,A,B,A,A,B,A,B,-,A,B,B,-,A,B,A,B,B,A,B,A,A,A,A
JHI_Hv50k_2016_12853,B,B,-,B,B,B,B,-,B,B,B,-,B,B,B,B,-,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,-,B,A,-,A,-,B,A,A,A,A,B,A,A,-,A,A,B,A,A,B,A,B,A,B,B,B,-,A,B,B,B,A,A,B,-,A,A,B,-,B,B,B,-,B,B,A,A,B,A,A,A,A,A,A
JHI_Hv50k_2016_13067,B,B,-,B,A,A,A,A,B,A,B,-,A,A,A,A,A,B,B,A,B,A,A,A,-,B,B,A,B,A,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,-,A,B,B,A,A,A,B,A,A,A,B,B,A,B,B,B,A,A,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,A,B,A,A,A,A
JHI_Hv50k_2016_13582,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,-,A,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,A,A,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,A,B,A,A,A,A
JHI_Hv50k_2016_14418,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,A,A,-,B,A,A,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,A,A,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,A,B,A,A,A,A
JHI_Hv50k_2016_14760,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,-,A,-,-,B,-,A,A,A,A,A,B,B,-,-,B,A,A,A,B,-,-,B,B,B,A,B,B,B,-,B,B,-,A,B,-,-,-,B,B,-,-,A,B,A,B,B,B,B,A,A,A,A
JHI_Hv50k_2016_15051,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,A,A,B,B,B,A,A,B,A,-,A,B,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15068,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,A,A,-,B,B,A,A,B,A,-,A,B,A,A,B,B,B,A,B,A,B,A,B,B,A,A,-,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,-
JHI_Hv50k_2016_15127,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,-,-,A,B,B,B,-,-,B,B,A,-,B,A,-,-,A,B,B,B,B,-,-,B,-,B,A,B,-,A,B,B,B,A,B,B,-,A,B,B,-,A,B,-,-,-,B,B,A,-,-,B,A,-,B,B,B,-,A,-,-
JHI_Hv50k_2016_15129,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15134,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15183,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,-,-,B,A,A,A,-,A,-,B,B,-,A,B,A,-,A,A,-,-,B,B,B,A,B,B,B,A,B,B,-,A,B,-,-,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,-
JHI_Hv50k_2016_15198,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,A,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,-,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,-,B
JHI_Hv50k_2016_15222,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,B,-,A,A,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,-
JHI_Hv50k_2016_15254,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,A,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15322,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,-,B,B,A,-,A,B,-,B,B,B,B,A,A,A,-
JHI_Hv50k_2016_15324,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15327,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15348,B,B,-,B,A,A,A,A,B,A,B,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15410,-,-,-,B,A,A,A,A,B,A,-,-,A,A,-,A,A,B,B,A,-,A,A,A,-,B,-,A,A,B,B,B,-,A,B,-,A,-,-,A,A,A,B,A,-,B,-,A,A,-,A,-,A,A,A,A,B,B,B,A,-,A,B,A,-,-,A,A,-,A,-,-,-,-,A,-,A,B,A,B,-,-,B,A,A,A,-
JHI_Hv50k_2016_15633,B,B,-,B,A,A,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,-,B,B,A,-,A,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_15963,B,B,-,B,A,A,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,-,B,B,A,-,B,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_16067,B,B,-,B,A,A,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,-,B,B,A,-,B,B,A,B,B,B,B,A,A,A,B
JHI_Hv50k_2016_16495,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,B,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_16499,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,-,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,-,B
JHI_Hv50k_2016_16505,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,A,-,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16506,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16514,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_16516,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,-,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16517,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,-,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16518,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,-,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_16526,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,B,B,B,B,B,A,A,B,A,B,B,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,-,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,-,B
JHI_Hv50k_2016_16527,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16542,B,B,-,B,A,B,A,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,-,-,A,-,B,A,A,A,B,-,-,B,B,A,A,B,A,-,-,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,-,-
JHI_Hv50k_2016_16559,B,B,-,B,A,B,B,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,-,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,-,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_16601,B,B,-,B,A,B,B,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_16604,B,B,-,B,A,B,B,A,B,A,A,-,A,A,B,A,A,B,B,A,B,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,-,-,B,B,A,A,B,A,-,-,A,A,A,B,B,B,A,-,A,B,A,B,B,B,A,A,A,B,-,B,B,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_17893,B,B,-,B,-,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,B,A,-,B,A,A,A,B,-,B,B,B,A,A,B,A,-,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_18189,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,-,-,B,B,A,A,B,A,A,-,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_18338,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_18373,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,-,A,-,B,A,A,A,B,-,-,B,B,A,A,B,A,-,-,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,-
JHI_Hv50k_2016_18382,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,-,B,B,B,A,A,B,A,-,-,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,-,B
JHI_Hv50k_2016_18385,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,-,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_18386,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,B,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,B,A,A,-,B,A,A,A,B,A,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,B
JHI_Hv50k_2016_20858,B,B,-,B,A,B,B,A,B,A,A,-,B,A,B,A,A,B,A,A,A,A,A,A,-,B,B,A,A,B,B,B,-,A,A,A,A,-,B,A,A,A,B,A,B,B,B,B,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,-,B,A,A,-,B,B,A,B,B,A,B,B,A,A,A
JHI_Hv50k_2016_23594,A,A,-,B,B,B,B,B,A,A,B,-,A,A,A,A,A,A,A,A,B,B,A,A,-,A,A,A,B,A,B,B,-,A,A,A,B,-,B,A,A,B,B,A,A,B,B,A,A,B,A,-,A,B,A,A,B,B,A,A,-,B,A,B,B,B,A,A,A,B,A,-,A,A,A,-,B,B,B,B,A,A,B,B,A,A,A
JHI_Hv50k_2016_23694,A,B,-,A,A,A,A,A,B,B,A,-,B,B,B,B,B,B,B,B,A,A,B,A,-,B,B,B,A,A,A,A,-,B,A,B,-,-,-,A,A,A,-,B,A,-,A,A,A,A,A,A,A,-,A,A,-,A,A,B,A,A,A,-,A,-,A,B,B,A,A,-,A,A,A,-,A,A,B,A,A,A,A,A,A,A,B
JHI_Hv50k_2016_26496,B,B,-,B,A,A,B,A,B,A,A,-,B,A,B,A,A,B,A,A,A,A,A,B,-,A,B,A,A,B,B,B,-,A,A,A,A,-,B,A,A,A,B,A,B,B,-,B,A,B,A,A,A,A,A,A,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,-,B,B,A,-,B,B,B,B,B,A,B,B,A,A,A
JHI_Hv50k_2016_29422,B,A,-,B,A,B,A,B,B,A,B,-,B,B,B,B,B,A,B,B,B,A,B,A,-,B,B,B,B,B,A,B,-,A,B,B,A,-,B,B,A,A,A,A,B,A,A,B,B,B,B,-,A,B,A,B,A,B,A,B,B,A,B,B,A,A,B,A,B,A,B,-,B,B,B,-,B,B,B,A,B,A,B,A,B,A,-
JHI_Hv50k_2016_30997,B,B,-,B,A,A,B,A,B,A,A,-,B,A,B,A,A,B,B,B,A,A,A,A,-,A,B,A,A,B,B,B,-,A,A,A,A,-,B,A,A,A,B,A,B,B,-,B,A,B,A,B,A,A,A,A,B,B,B,A,B,A,B,A,A,B,B,A,B,A,B,-,B,B,A,-,B,B,B,B,B,A,B,B,A,A,A
JHI_Hv50k_2016_37481,A,B,-,B,A,A,B,A,B,A,B,-,B,A,B,A,A,B,B,B,A,A,B,B,-,A,A,A,A,B,B,B,-,A,A,-,B,-,A,A,B,A,B,A,B,B,-,B,B,A,A,B,B,A,A,A,B,B,B,A,A,A,B,A,A,B,B,B,B,A,B,-,B,B,A,-,B,B,B,B,A,A,B,B,A,A,A
JHI_Hv50k_2016_37484,A,B,-,B,A,A,B,A,B,A,B,-,B,-,B,-,A,B,B,B,A,A,B,B,-,-,-,A,A,B,B,B,-,-,A,B,B,-,A,A,B,-,B,A,B,B,A,B,B,A,A,B,B,-,-,-,B,B,B,A,A,A,B,A,A,B,B,B,B,A,B,-,B,B,A,-,B,B,B,B,A,A,B,B,A,A,B
JHI_Hv50k_2016_38080,A,B,-,B,A,B,A,A,B,A,B,-,A,A,B,B,A,A,B,B,A,A,B,B,-,B,A,B,A,B,B,A,-,A,A,-,B,-,A,A,B,A,B,A,B,B,A,B,B,A,B,B,-,A,B,A,B,B,A,B,A,A,B,B,A,B,-,B,B,A,A,-,A,B,B,-,A,A,B,B,B,A,B,B,A,A,A
JHI_Hv50k_2016_38105,A,-,-,B,A,-,A,A,B,A,B,-,A,A,B,B,A,A,B,B,A,A,-,B,-,B,A,B,A,B,B,A,-,A,-,B,B,-,A,A,B,A,B,-,B,B,A,B,B,A,B,-,B,A,B,A,B,-,A,B,-,A,B,B,A,B,-,B,B,A,A,-,A,B,-,-,A,A,B,B,B,A,B,B,A,-,-
