,IND1,IND3,IND5,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND16,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND30,IND31,IND32,IND33,IND34,IND36,IND37,IND38,IND40,IND41,IND42,IND43,IND44,IND47,IND48,IND49,IND50,IND52,IND53,IND54,IND55,IND57,IND59,IND60,IND61,IND62,IND63,IND64,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND86,IND87,IND88,IND89,IND91,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND108,IND102
M_11,B,B,B,B,A,B,A,A,B,A,-,B,A,A,-,B,A,A,A,B,A,A,B,B,B,B,A,B,A,B,B,A,B,A,B,A,B,A,A,A,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,A,A,B,A,A,A,A,B,B,A,B,A,B,B,A,B,-,-,A,B,B,B,B,B,B,-,A,B,B,A,B,A
M_12,B,A,B,B,B,-,B,A,B,A,B,B,A,A,A,A,A,-,A,B,A,B,B,B,B,B,A,B,B,B,-,B,B,B,B,-,B,A,A,A,B,A,B,A,A,-,-,A,A,B,-,B,A,B,A,A,B,A,B,-,B,A,B,A,A,A,A,B,A,A,B,-,A,B,A,A,A,A,A,B,-,A,A,A,B,A,A
M_13,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,B,A,B,B,B,B,B,B,B,A,B,-,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,-,B,A,A,A,A,A
M_14,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,B,A,B,A,A,B,A,A,-,A,A,A,A,B,A,B,A,A,A,B,B,A,A,B,A,B,B,B,B,B,B,B,A,B,-,B,B,A,A,-,A,-,A,B,A,A,A,B,A,A,-,B,A,A,A,A,A
M_15,A,A,B,-,B,B,A,A,A,B,A,B,A,A,B,A,B,B,A,A,A,B,A,A,A,B,A,A,B,A,A,A,B,A,A,B,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,-,B,A,A,A,B,A,B,A,A,B,A,B,A,A,-,A,B,A,B,A,A,A,A,-,A,A,A,B,B,A
M_16,A,A,A,-,B,B,A,A,A,A,A,-,A,A,B,B,B,B,A,B,A,B,A,A,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,B,A,-,A,A,B,A,A,A,A,A,B,B,A,-,B,A,A,B,B,A,B,A,A,B,B,B,A,B,-,B,B,A,B,A,A,A,B,A,A,A,A,A,B,A
M_17,-,A,A,-,B,B,B,A,A,A,A,-,A,A,B,B,B,B,A,B,A,B,A,A,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,A,-,B,A,A,B,A,A,B,A,A,B,A,B,B,A,B,B,B,A,B,A,A,-,B,A,A,A,A,A,A,A
M_18,A,A,A,A,-,-,B,A,A,B,A,-,B,A,B,B,B,B,A,A,A,B,B,B,A,B,B,A,A,A,A,A,-,B,-,B,B,A,A,A,A,A,-,A,-,A,A,B,A,A,A,A,A,-,B,A,B,-,A,A,B,A,A,B,A,A,-,A,A,B,-,-,B,-,A,-,A,A,A,B,-,A,A,A,-,B,A
M_19,-,A,A,A,-,B,B,A,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,B,A,B,B,A,-,A,A,A,B,B,B,B,B,A,-,A,A,A,B,A,B,A,A,B,B,A,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,-,B,A,-,B,B,A,B,A,A,A,B,-,A,-,A,B,A,A
M_20,-,A,A,A,-,B,B,A,-,B,A,-,B,A,B,B,B,B,A,A,A,B,B,B,A,B,B,A,-,A,A,A,B,B,B,B,B,A,B,A,A,A,B,A,B,A,A,B,B,A,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,B,A,-,B,B,A,B,B,A,A,B,-,A,-,A,B,A,A
M_21,-,A,A,A,-,B,B,A,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,B,A,B,B,A,-,A,A,A,B,B,B,B,B,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,-,-,A,-,B,B,A,B,A,A,A,B,-,A,-,A,B,B,A
M_22,B,A,A,B,A,B,B,B,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,B,B,A,A,B,A,B,B,A,-,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,B,A,B,-,A,A,A,-,A,B,A,B,B,B,B,B,B,-,A,B,A,B,A,A,-,B,-,A,-,-,B,B,-
M_23,B,A,A,B,-,B,B,B,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,B,-,B,B,A,B,B,B,A,A,B,A,B,B,-,-,A,B,A,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,A,A,-,A,A,B,B,A,B,B,B,B,-,A,B,A,B,A,A,B,B,-,A,A,B,B,B,-
M_24,B,-,A,-,A,B,-,B,A,B,A,-,B,A,B,B,B,B,A,A,-,B,-,B,A,B,B,A,B,B,-,-,A,B,A,B,B,-,B,A,B,A,B,A,-,-,B,B,B,B,A,B,B,-,B,B,-,-,A,A,A,A,A,A,-,B,A,B,B,-,B,-,A,-,A,B,A,-,B,B,-,A,A,B,-,B,-
M_25,B,A,A,B,A,B,B,A,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,B,-,B,B,A,A,B,B,B,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,B,A,-,B,B,A,A,B,B,B,A,A,B,A,-,A,A,A,B,B,A,B,B,-,A,A,B,B,B,-
M_26,A,A,A,-,A,A,B,A,B,B,A,-,B,A,A,B,B,B,B,A,A,A,B,B,-,B,B,A,B,A,B,B,A,B,A,B,A,-,B,A,B,A,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,B,B,A,A,B,A,A,B,-,B,A,A,-,A,-,A,A,A,B,B,B,B,B,-,A,B,B,B,B,B
M_27,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,B,B,B,B,A,B,A,B,B,-,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,-,B,A,A,A,A,A,B,B,B,A,A,B,A,A,-,A,A,B,B,B,B,B,-,A,B,B,B,B,B
M_28,A,A,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,B,A,B,A,-,B,B,B,A,B,B,A,B,-,A,B,A,B,A,-,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,A,B,B,-,B,A,A,A,A,A,B,B,-,A,A,A,A,-,A,A,A,B,B,B,B,B,-,A,A,B,B,A,A
M_29,A,A,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,B,A,B,A,-,-,B,B,A,B,B,A,B,B,A,B,A,B,A,B,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,A,B,B,A,B,A,A,A,A,A,B,B,B,A,A,A,A,-,A,A,A,B,B,-,B,B,A,A,A,B,B,A,A
M_30,A,-,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,B,A,B,A,-,-,B,B,A,B,B,A,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,A,B,B,A,B,A,A,A,A,A,B,B,B,A,A,A,A,-,A,A,A,B,B,B,B,B,-,A,A,B,B,A,A
M_31,B,A,B,A,A,B,-,A,A,-,A,B,A,A,A,A,B,A,B,A,A,A,A,-,-,B,B,B,B,A,-,B,A,B,A,B,A,-,A,B,B,B,B,-,B,B,A,A,A,B,B,B,B,B,A,-,B,A,B,B,B,A,-,B,A,B,-,A,A,A,A,-,B,B,B,A,B,-,B,A,-,B,A,B,B,B,A
M_32,A,A,B,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,B,B,A,A,B,A,B,B,A,A,B,A,B,-,A,A,A,A,A,B,B,B,B,B,A,-,B,B,A,A,A,B,A,-,A,A,A,A,B,-,A,-,B,A,-,B,A,B,-,A,A,A,A,A,A,B,B,A,-,-,B,A,-,-,A,B,B,A,A
M_33,A,-,B,A,A,-,B,A,-,A,B,B,A,A,B,A,A,A,B,B,A,A,B,-,A,B,A,B,A,A,A,-,A,B,A,A,-,A,-,B,B,B,A,B,B,A,B,A,A,B,A,A,A,A,B,A,B,-,A,A,A,B,B,B,B,A,-,A,-,A,A,-,B,B,B,A,-,B,B,B,-,B,B,B,B,A,A
M_34,A,B,B,A,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,A,B,A,A,B,-,A,B,B,A,A,B,A,A,B,B,B,A,B,B,B,B,A,A,A,-,A,A,-,A,A,B,B,B,A,A,B,A,A,A,-,A,B,A,B,A,A,B,A,A,-,B,A,B,A,A,-,B,A,A,A,B,B,A,A,A
M_35,A,B,B,A,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,A,B,A,A,B,-,A,B,B,A,A,B,A,A,B,B,B,A,B,B,B,B,A,A,A,A,B,A,-,A,A,B,B,B,A,A,B,A,A,A,-,A,B,A,B,A,A,B,A,A,-,B,A,B,A,A,A,B,A,-,B,B,B,A,A,A
M_36,A,-,A,A,A,B,A,B,B,A,A,B,B,B,-,B,B,A,B,A,A,B,B,A,A,B,A,-,B,A,A,B,B,B,A,B,B,B,-,B,B,B,A,A,A,A,A,B,A,-,A,B,B,B,A,A,A,B,A,A,A,B,A,A,A,B,-,B,A,B,B,-,B,-,B,A,A,-,B,A,-,B,B,B,A,A,B
M_37,A,A,B,B,B,B,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,-,B,B,B,B,B,A,A,A,B,A,B,B,B,A,A,B,A,B,A,A,B,-,-,A,A,A,A,A,B,A,B,-,B,B,-,A,B,B,A,B,-,B,B,A,B,A,B,A,B,B
M_38,A,A,B,B,B,B,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,A,B,-,B,B,B,A,A,A,B,A,B,B,B,A,A,B,A,B,A,A,B,B,A,A,A,A,A,A,B,A,B,A,B,B,-,A,B,B,A,B,A,B,B,-,B,A,B,A,B,B
M_39,A,A,B,B,B,-,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,B,A,A,B,A,B,B,B,B,B,B,A,B,A,A,-,B,B,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,-,A,B,-,B,A,-,A,A,A,B,-,B,-,B,B,-,A,B,B,A,B,A,B,B,-,B,A,B,A,B,B
M_40,A,B,B,B,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,B,B,A,B,A,B,B,B,B,B,B,A,B,-,A,-,B,A,B,B,B,A,B,A,B,A,-,B,B,A,A,B,A,B,A,A,A,-,-,A,A,A,A,A,B,A,B,-,B,B,-,A,B,B,A,A,-,B,B,-,B,A,B,A,A,B
M_41,A,B,B,B,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,B,B,A,B,A,B,B,B,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,-,-,A,A,A,A,A,B,A,B,A,B,B,-,A,B,B,A,A,A,B,B,A,B,A,B,A,A,B
M_42,B,B,B,B,B,-,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,B,-,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,-,B,B,B,-,B,-,B,A,A,-,B,A,A,B,A,A,A,A,-,-,-,A,A,A,A,A,B,-,B,A,B,B,-,A,B,B,A,A,A,B,B,-,B,A,B,A,B,B
M_43,A,A,B,B,-,A,A,B,B,A,-,B,B,A,A,B,A,A,B,A,A,-,B,A,B,B,A,B,B,B,A,-,A,B,A,A,A,B,-,B,B,-,A,B,A,A,B,A,B,B,A,A,B,B,A,A,A,-,-,A,A,A,A,A,A,B,-,B,A,-,-,-,A,B,-,A,A,-,B,-,-,B,B,-,A,B,B
M_44,A,A,B,B,-,A,A,B,B,A,A,B,B,A,A,B,A,A,B,A,-,-,B,-,A,A,A,B,B,-,A,B,A,-,A,A,A,B,A,-,B,B,A,-,A,A,-,A,B,B,A,A,B,-,A,A,A,A,-,A,A,A,A,A,A,-,-,B,A,-,-,-,A,B,-,A,A,-,B,-,-,-,B,-,A,A,B
M_45,A,A,B,B,B,A,A,B,B,-,A,B,-,A,A,B,A,A,B,A,A,B,-,-,A,A,A,B,-,B,B,B,A,B,A,A,A,B,-,B,B,B,A,-,A,B,B,A,B,B,A,A,B,B,A,A,-,A,-,-,A,A,A,A,A,B,A,B,A,-,-,-,-,-,B,A,-,A,B,B,-,B,B,B,A,A,B
M_46,A,A,-,-,B,A,A,-,-,A,A,B,B,A,A,-,A,A,B,A,A,-,-,A,A,A,A,B,B,B,-,-,A,B,A,A,A,-,-,B,-,B,A,-,A,B,-,A,B,B,-,A,-,B,A,A,-,A,A,A,A,A,A,A,A,B,A,-,A,-,-,-,A,-,B,A,A,-,B,B,-,-,-,-,A,A,B
M_47,A,A,B,B,B,A,A,A,B,-,B,B,B,A,B,A,A,A,B,A,A,B,B,A,A,B,A,B,B,B,B,B,A,B,A,A,A,B,-,B,B,B,A,A,A,B,B,A,B,B,A,B,B,B,A,A,A,B,-,A,A,B,A,A,A,B,B,B,B,B,B,-,A,-,B,B,B,-,B,A,-,B,B,B,A,A,B
M_48,-,A,B,B,-,A,A,A,B,A,-,B,B,A,B,A,A,A,B,A,A,-,B,A,A,B,A,-,B,B,B,B,A,B,A,A,A,-,-,B,B,-,A,A,A,B,B,A,-,B,A,-,B,B,A,A,A,-,A,A,A,-,A,A,A,-,B,-,-,B,-,-,A,-,B,B,B,-,B,A,-,B,-,B,A,A,B
M_49,A,A,B,B,B,A,A,A,B,-,A,B,B,A,B,A,A,A,B,A,A,B,B,A,A,B,A,B,B,A,B,B,A,B,A,A,A,B,A,B,B,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,A,B,B,B,A,A,A,B
M_50,A,A,B,B,B,A,B,B,B,A,A,B,B,A,B,A,A,A,B,A,A,B,B,A,A,B,A,B,B,A,A,A,A,B,A,A,A,B,A,B,B,B,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B,B,A,A,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B
M_51,A,B,B,B,B,B,A,A,A,B,B,A,-,A,B,A,B,A,B,A,A,B,B,B,A,B,B,A,B,B,-,A,B,B,A,A,B,B,A,B,B,B,A,A,A,B,A,A,B,B,A,B,B,B,A,A,B,B,-,A,A,B,B,B,A,B,-,B,B,B,B,-,A,B,B,-,A,-,B,-,-,A,B,B,A,B,A
M_52,A,-,B,B,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,A,B,B,B,A,B,B,A,B,B,-,A,B,B,A,A,B,B,-,A,B,B,A,B,A,-,A,B,B,B,A,B,B,B,A,A,A,B,A,A,B,A,B,B,A,A,B,B,-,B,-,-,A,B,B,-,A,-,B,B,-,A,B,B,B,B,A
M_53,A,B,B,B,A,B,A,A,B,B,B,-,A,A,B,A,B,A,B,A,B,B,A,B,B,B,B,A,A,B,A,A,B,B,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,B,B,B,B,A,B,B,B,A,A,B,B,B,B,B
M_54,B,A,B,A,A,A,A,A,-,B,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,-,A,A,A,A,-,A
M_55,B,A,-,A,B,-,B,B,B,-,-,-,B,B,-,B,A,B,A,B,B,-,A,-,-,-,-,B,A,-,B,B,-,-,B,B,A,B,B,B,A,A,A,B,-,-,-,-,-,-,-,-,B,-,B,B,A,B,-,B,A,B,-,-,B,B,-,A,B,-,-,B,-,-,-,-,-,B,-,-,-,B,-,A,A,B,B
M_56,B,-,A,A,-,B,A,-,B,B,-,-,-,B,B,B,-,B,A,B,B,B,-,B,A,B,A,B,B,A,B,B,-,A,A,A,B,B,-,-,B,-,B,B,B,B,A,B,B,B,B,-,A,B,B,B,B,-,B,B,B,B,A,B,B,B,-,B,B,A,-,-,B,B,A,-,B,A,B,A,-,B,B,B,A,A,A
M_57,A,-,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,B,A,-,B,A,B,-,A,A,B,A,B,-,A,B,-,-,B,-,-,B,B,A,-,-,B,B,A,-,A,-,B,A,B,A,B,B,A,-,A,-,A,A,B,A,-,A,B,B,B,A,-,A,B,-,B,-,-,B,B,B
M_58,B,B,A,A,A,B,A,B,A,-,A,B,B,B,A,B,A,B,A,A,B,A,A,B,B,A,B,A,B,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,A,A,A,A,B,A,A,B,-,A,B,A,A,A,B,B,B,B,B,A,A,A,A,A,B,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,B,B
M_59,B,-,A,A,A,B,A,B,B,A,-,-,B,B,A,-,B,B,A,A,B,A,-,A,-,A,-,A,B,A,A,A,-,A,A,A,A,A,-,A,A,-,B,B,A,A,-,A,A,B,A,A,-,B,A,A,-,A,A,-,A,B,B,A,-,A,-,A,A,A,A,A,A,A,B,A,-,A,A,A,-,-,B,A,A,B,B
M_60,B,A,B,B,B,B,B,A,-,A,B,B,-,B,A,A,A,-,A,A,B,-,-,A,B,A,B,A,A,A,A,-,A,B,A,A,-,B,-,A,-,B,-,B,A,A,A,A,B,-,A,-,-,B,-,B,-,A,B,B,-,B,A,A,B,A,-,B,B,-,B,-,A,A,B,B,B,-,A,-,-,A,-,A,A,B,B
M_61,B,-,B,B,-,B,B,A,-,A,B,B,A,B,A,A,A,-,A,A,B,-,-,-,B,A,B,A,A,A,A,A,A,B,A,A,-,B,-,A,-,B,A,B,A,A,-,A,B,A,-,A,-,B,A,B,-,A,B,B,-,B,A,A,B,A,A,B,B,-,B,-,A,-,B,B,B,A,A,A,-,A,A,A,A,-,B
M_62,A,B,B,B,A,B,B,A,A,B,B,A,A,B,B,A,A,B,B,B,B,B,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,B,B,A,A,A,A,B,A,B,B,A,B,B,A,B,B,B,B,B,B,B,A,B,B,B,A,A,A,A,B,B,A,A,B,A,B,B,B,A,B,A,B,B,B,B,A,A,A,-,A
M_63,B,A,B,A,B,B,A,A,A,B,B,B,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,A,B,A,B,-,A,A,A,A,B,A,A,A,A,B,B,B,A,B,B,B,B,A,A,B,A,A,A,B,B,A,A,B,-,B,A,A,-,A,A,B,A,B,-,B,A,-,A,A,B,A,B,A
M_64,B,-,B,A,A,A,A,B,A,A,B,B,B,B,B,B,A,A,B,A,-,A,-,A,B,-,B,B,B,B,B,A,A,-,B,B,A,B,B,B,A,A,B,A,B,B,A,A,B,A,B,B,A,A,A,B,A,-,A,B,A,B,B,B,B,A,-,B,B,A,B,-,B,A,B,B,A,-,B,A,-,B,A,B,B,A,B
M_65,A,B,A,B,A,B,B,A,B,B,B,-,A,A,B,B,B,B,A,B,B,A,B,B,B,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,B,B,B,A,B,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,B,B,A,B
M_66,A,A,B,B,-,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,B,B,-,B,B,B,A,A,A,A,B,A,B,-,A,-,B,B,A,B,A,B,A,B,A,B,B,B,B,B,A,A,B,B,B,A,B,-,B,B,B,A,B,B,B,A,-,-,-,B,B,A,A
M_67,A,A,A,A,A,-,-,-,B,A,-,-,A,B,B,-,A,A,B,-,-,A,-,-,B,A,-,B,B,-,A,-,A,A,B,B,A,-,-,B,A,A,A,A,B,A,B,-,A,-,-,B,A,-,A,B,A,-,A,-,B,B,B,B,A,A,-,B,B,A,-,-,A,-,B,A,-,-,B,-,-,-,A,B,B,A,A
M_68,A,-,A,B,A,B,B,A,-,A,A,B,A,A,B,A,A,-,A,A,-,A,B,A,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A,A,-,-,A,A,-,-,A,-,B,A,A,B,-,B,B,-,A,-,B,A,A,A,B,A,-,A,-,A,A,-,-,-,B,-,A,A,-,A,B,A
M_69,A,B,A,B,A,B,B,A,B,A,A,B,A,A,B,A,A,B,A,A,B,-,B,A,-,A,A,B,B,B,A,A,A,B,B,-,A,A,A,B,A,A,A,A,-,A,A,A,B,A,A,B,B,A,B,B,A,A,B,B,B,B,B,A,-,-,A,A,A,A,A,-,A,-,A,A,B,-,B,B,-,A,A,B,A,A,A
M_70,A,B,A,-,A,B,B,A,B,A,-,B,A,A,B,A,A,-,A,A,B,B,A,A,B,A,A,B,B,B,A,A,B,B,A,B,A,A,A,B,B,A,A,A,B,A,A,A,-,A,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B,B,B,A,A,A,A,-,A,-,A,A,-,-,B,B,-,A,A,B,A,A,A
M_71,A,B,A,B,A,B,B,A,B,-,B,B,A,A,B,A,A,B,A,A,B,B,A,A,B,A,A,B,B,B,A,A,B,B,A,B,A,A,A,B,B,A,A,A,B,A,A,-,B,A,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B,B,B,A,A,A,A,-,A,B,A,-,B,-,B,B,-,A,A,B,A,A,-
M_72,A,B,A,B,A,B,B,A,B,A,B,B,A,A,B,A,A,B,A,A,B,B,A,A,B,A,A,B,B,B,A,A,B,B,A,B,A,A,-,B,B,A,A,A,B,A,A,-,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,A,B,B,A,A,A,B,A,-,A,B,A,-,B,-,B,B,-,A,A,B,A,A,A
M_73,A,-,A,-,A,B,B,A,B,A,-,B,A,A,B,A,A,B,A,A,B,B,A,A,B,B,A,B,B,B,A,A,B,B,A,B,A,A,-,B,B,A,A,A,B,A,A,-,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,A,B,B,A,A,A,B,A,A,A,A,A,A,B,B,B,B,-,A,A,B,A,A,A
M_74,A,B,A,B,A,B,B,A,B,A,B,B,A,-,B,A,A,B,A,A,B,B,A,A,B,B,-,B,B,B,A,A,B,B,B,B,A,A,A,B,-,A,A,A,B,A,A,-,B,A,B,B,-,A,B,B,-,-,B,A,B,B,B,A,B,B,-,A,A,B,-,-,A,-,A,A,B,-,B,B,-,A,A,B,A,A,A
