genotypes,sitio,anio,EX,PM,NS,IK,FR,VIS,PD,BG,ATL,amb,M_1120797,M_1120159,M_1111453,M_1120252,M_1121190,M_1120529,M_1121398,M_1121027,M_1120976,M_1110112,M_1110886,M_1120595,M_1120172,M_1120742,M_1110565,M_1120794,M_1120455,M_1120968,M_1120607,M_1110672,M_1120410,M_1110081,M_1110710,M_1110825,M_1110863,M_1120193,M_1121145,M_1120647,M_1121533,M_1111002,M_1110601,M_1121101,M_1121197,M_1111313,M_1111258,M_1111086,M_1110137,M_1111501,M_1120970,M_1110328,M_1120333,M_1120428,M_1120439,M_1120796,M_1120856,M_1121062,M_1121435,M_1111283,M_1120002,M_1120288,M_1110926,M_1110620,M_1110925,M_1111530,M_1120801,M_1110966,M_1111125,M_1120486,M_1120583,M_1121472,M_1110011,M_1111124,M_1110008,M_1110456,M_1121147,M_1111337,M_1110225,M_1111401,M_1111016,M_1120276,M_1110158,M_1110373,M_1110653,M_1121511,M_1110728,M_1121120,M_1111191,M_1110281,M_1120704,M_1110335,M_1111391,M_1121502,M_1110839,M_1121305,M_1120931,M_1111394,M_1110172,M_1120017,M_1111314,M_1120273,M_1120877,M_1111241,M_1120694,M_1110350,M_1120566,M_1120695,M_1120778,M_1110683,M_1110047,M_1120362,M_1120597,M_1120115,M_1121358,M_1120093,M_1120063,M_1121348,M_1110628,M_1121294,M_1120659,M_1111021,M_1110747,M_1120999,M_1121438,M_1120130,M_1110515,M_1110184,M_1121381,M_1121517,M_1120009,M_1121513,M_1121212,M_1120023,M_1121161,M_1111503,M_1110312,M_1121277,M_1120523,M_1110753,M_1120168,M_1120944,M_1110918,M_1121405,M_1110754,M_1110821,M_1111172,M_1110867,M_1120650,M_1110280,M_1120343,M_1111196,M_1111141,M_1120662,M_1120612,M_1110381,M_1111127,M_1121428,M_1120085,M_1120920,M_1121427,M_1110631,M_1121266,M_1121272,M_1111436,M_1110702,M_1110646,M_1121008,M_1120605,M_1110681,M_1111410,M_1121267,M_1110694,M_1111516,M_1110343,M_1110283,M_1121362
CLE178,EEMAC,2007,81.8,13.7,958,45,61,1.53,437,394,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB
Clipper,EEMAC,2007,79.7,13.5,1029,48,65,1.58,330,323,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
Clivia,EEMAC,2007,77.6,13.2,672,32,47,1.52,333,569,-,EEMAC _ 2007,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AB,AA,AA
Defra,EEMAC,2007,78.2,13.1,695,33,52,1.52,413,484,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
FNC1,EEMAC,2007,77.5,13,666,32,42,1.59,349,669,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
FNC61,EEMAC,2007,78.7,14.7,1060,46,63,1.51,485,250,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
FNCI22,EEMAC,2007,78.2,13.1,735,35,54,1.51,339,584,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
Gull,EEMAC,2007,78.3,15,846,36,36,1.73,183,568,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
Haisa,EEMAC,2007,77.9,13.5,658,30,42,1.59,383,847,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
Hanna,EEMAC,2007,77.6,15.9,1223,49,55,1.53,514,189,-,EEMAC _ 2007,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
Isaria,EEMAC,2007,78.7,13.9,887,41,53,1.65,294,605,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
Kenia,EEMAC,2007,78.1,13.7,785,36,48,1.67,229,573,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
